id,category_id,voice_url,image_url,romanji,hiragana_katakana,ja-JP,id-ID
1,1,/n5/voices/numbers/1,/n5/angka/1,ban'gou,ばんごう,番号,nomor
2,1,/n5/voices/numbers/2,/n5/angka/2,rei,れい, 例,nol
3,1,/n5/voices/numbers/3,/n5/angka/3,zero,ゼロ,ゼロ,nol
4,1,/n5/voices/numbers/4,/n5/angka/4,han,はん,半,setengah
5,1,/n5/voices/numbers/5,/n5/angka/5,ichi,いち,一,satu
6,1,/n5/voices/numbers/6,/n5/angka/6,ni,に,二,dua
7,1,/n5/voices/numbers/7,/n5/angka/7,san,さん,三,tiga
8,1,/n5/voices/numbers/8,/n5/angka/8,yon,よん,四,empat
9,1,/n5/voices/numbers/9,/n5/angka/9,go,ご,五,lima
10,1,/n5/voices/numbers/10,/n5/angka/10,roku,ろく,六,enam
11,1,/n5/voices/numbers/11,/n5/angka/11,nana,なな,七,tujuh
12,1,/n5/voices/numbers/12,/n5/angka/12,hachi,はち,八,delapan
13,1,/n5/voices/numbers/13,/n5/angka/13,"kyuu,ku",きゅう / く,九,sembilan
14,1,/n5/voices/numbers/14,/n5/angka/14,jyuu,じゅう,十,sepuluh
15,1,,,hyaku,ひゃく,百,seratus
16,1,,,sen,せん	,千,seribu
17,1,,,man,まん,万,sepuluh ribu
18,2,,,hitotsu,ひとつ,一つ,1 tahun
19,2,,,futatsu,ふたつ,二つ,2 tahun
20,2,,,mittsu,みっつ,三つ,3 tahun
21,2,,,yottsu,よっつ,四つ,4 tahun
22,2,,,itsutsu,いつつ,五つ,5 tahun
23,2,,,muttsu,むっつ,六つ,6 tahun
24,2,,,nanatsu,ななつ,七つ,7 tahun
25,2,,,yattsu,やっつ,八つ,8 tahun
26,2,,,kokonotsu,ここのつ,九つ,9 tahun
27,2,,,too,とお,十,10 tahun
28,2,,,hatachi,はたち,二十歳,20 tahun
29,3,,,youbi,ようび,曜日,hari
30,3,,,getsuyoubi,げつようび,月曜日,senin
31,3,,,kayoubi,かようび,火曜日,selasa
32,3,,,suiyoubi,すいようび,水曜日,rabu
33,3,,,mokuyoubi,もくようび,木曜日,kamis
34,3,,,kin'youbi,きんようび,金曜日,jumat
35,3,,,doyoubi,どようび,土曜日,sabtu
36,3,,,nichiyoubi,にちようび,日曜日,minggu
37,4,,,nichi,にち,日,"tanggal,hari"
38,4,,,tsuitachi,ついたち,一日,tanggal 1
39,4,,,futsuka,ふつか,二日,tanggal 2
40,4,,,mikka,	みっか,三日,tanggal 3
41,4,,,yokka,よっか,四日,tanggal 4
42,4,,,itsuka,いつか,五日,tanggal 5
43,4,,,muika,むいか,六日,tanggal 6
44,4,,,nanoka,なのか,七日,tanggal 7
45,4,,,youka,ようか,八日,tanggal 8
46,4,,,kokonoka,ここのか,九日,tanggal 9
47,4,,,tooka,とおか,十日,tanggal 10
48,4,,,hatsuka,	はつか,二十日,tanggal 20
49,5,,,ichinichi,いちにち,一日,1 hari
50,5,,,futsuka (kan),ふつかかん,二日間,(selama) 2 hari
51,5,,,mikka (kan),みっかかん,三日間,(selama) 3 hari
52,5,,,yokka (kan),よっかかん,四日間,(selama) 4 hari
53,5,,,itsuka (kan),いつかかん,五日間,(selama) 5 hari
54,5,,,muika (kan),むいかかん,六日間,(selama) 6 hari
55,5,,,nanoka (kan),なのかかん,七日間,(selama) 7 hari
56,5,,,youka (kan),ようかかん,八日間,(selama) 8 hari
57,5,,,kokonoka (kan),ここのかかん,九日間,(selama) 9 hari
58,5,,,tooka (kan),とおかかん,十日間,(selama) 10 hari
59,5,,,isshuukan,いっしゅうかん,一週間,(selama) 1 minggu
60,5,,,ikkagetsu (kan),いっかげつかん,一か月間,(selama) 1 bulan
61,5,,,ichinen (kan),いちねんかん,一年間,(selama) 1 tahun
62,6,,,jikan,じかん,時間,waktu
63,6,,,gozen,ごぜん,午前,"pagi, a.m."
64,6,,,gogo,ごご,午後,sore p.m
65,6,,,saki,さき,先,lebih dulu
66,6,,,ima,いま,今,sekarang
67,6,,,asa,あさ,朝,pagi
68,6,,,hiru,ひる,昼,siang
69,6,,,yuugata,ゆうがた,夕方,sore
70,6,,,"yoru, ban",よる / ばん,"夜, 晩",malam
71,6,,,mainichi,まいにち,毎日,setiap hari
72,6,,,maiasa,まいあさ,毎朝,setiap pagi
73,6,,,maiban,まいばん,毎晩,setiap malam
74,6,,,maishuu,まいしゅう,毎週,setiap minggu
75,6,,,maitsuki/maigetsu,まいつき / まいげつ,毎月,setiap bulan
76,6,,,maitoshi/mainen,まいとし / まいねん,毎年,setiap tahun
77,6,,,kesa,けさ,今朝,"tadi pagi, pagi ini"
78,6,,,konban,こんばん,今晩,malam ini
79,6,,,konshuu,こんしゅ,今週,minggu ini
80,6,,,kon'getsu,こんげつ,今月,bulan ini
81,6,,,kotoshi,ことし,今年,tahun ini
82,6,,,ototoi,おととい,一昨日,kemarin dulu
83,6,,,"yuube, sakuya","ゆうべ, さくや","夕べ, 昨夜","tadi malam, kemarin malam"
84,6,,,kinou,きのう,昨日,kemarin
85,6,,,kyou,きょう,今日,hari ini
86,6,,,ashita,あした,明日,besok
87,6,,,asatte,あさって,明後日,lusa
88,6,,,sensenshuu,せんせんしゅう,先々週,2 minggu yang lalu
89,6,,,senshuu,せんしゅう,先週,minggu lalu
90,6,,,konshuu,こんしゅう,今週,minggu ini
91,6,,,raishuu,らいしゅう,来週,minggu depan
92,6,,,saraishuu,さらいしゅう,再来週,2 minggu yang akan datang
93,6,,,sensen'getsu,せんせんげつ,先々月,2 bulan yang lalu
94,6,,,sen'getsu,せんげつ,先月,bulan lalu
95,6,,,kon'getsu,こんげつ,今月,bulan ini
96,6,,,raigetsu,らいげつ,来月,bulan depan
97,6,,,saraigetsu,さらいげつ,再来月,2 bulan yang akan datang
98,6,,,ototoshi,おととし,一昨年,2 tahun yang lalu
99,6,,,kyonen,きょねん,去年,tahun lalu
100,6,,,kotoshi,ことし,今年,tahun ini
101,6,,,rainen,らいねん,来年,tahun depan
102,6,,,sarainen,さらいねん,再来年,2 tahun yang akan datang
103,7,,,iro,いろ,色,warna
104,7,,,"ao, aoi","あお, あおい",青 / 青い,biru
105,7,,,"aka, akai","あか, あかい",赤 / 赤い,merah
106,7,,,"kiiro, kiiroi","きいろ, きいろい",黄色 / 黄色い,kuning
107,7,,,"kuro, kuroi","くろ, くろい",黒 / 黒い,hitam
108,7,,,"shiro, shiroi","しろ, しろい",白 / 白い,putih
109,7,,,"cha'iro, chairoi","ちゃいろ, ちゃいろい",茶色 / 茶色い,coklat
110,7,,,"midori iro, midori","みどりいろ, みどり",	緑 / 緑色,hijau
